,Dataset,Thresold,Sequence,Kappa,F1_score
0,117c_m_Ri,1,anatomical,,
1,117c_m_Ri,1,structural,,
2,117c_m_Ri,1,functional,,
3,117_m_Ra,1,anatomical,,
4,117_m_Ra,1,structural,,
5,117_m_Ra,1,functional,,
6,117_m_Vr,1,anatomical,,
7,117_m_Vr,1,structural,,
8,117_m_Vr,1,functional,,
9,164_m_Ku,1,anatomical,,
10,164_m_Ku,1,structural,,
11,164_m_Ku,1,functional,,
12,7_h_He,1,anatomical,,
13,7_h_He,1,structural,,
14,7_h_He,1,functional,,
15,7_m_Bo,1,anatomical,,
16,7_m_Bo,1,structural,,
17,7_m_Bo,1,functional,,
18,7_m_Br,1,anatomical,,
19,7_m_Br,1,structural,,
20,7_m_Br,1,functional,,
21,7_m_Ca,1,anatomical,,
22,7_m_Ca,1,structural,,
23,7_m_Ca,1,functional,,
24,7_m_Lo,1,anatomical,,
25,7_m_Lo,1,structural,,
26,7_m_Lo,1,functional,,
27,7_m_Mi,1,anatomical,,
28,7_m_Mi,1,structural,,
29,7_m_Mi,1,functional,,
30,7_m_Se,1,anatomical,,
31,7_m_Se,1,structural,,
32,7_m_Se,1,functional,,
33,7_m_St,1,anatomical,,
34,7_m_St,1,structural,,
35,7_m_St,1,functional,,
36,7_rab_Mu,1,anatomical,,
37,7_rab_Mu,1,structural,,
38,7_rab_Mu,1,functional,,
39,7_r_Se,1,anatomical,,
40,7_r_Se,1,structural,,
41,7_r_Se,1,functional,,
42,7_r_So,1,anatomical,,
43,7_r_So,1,structural,,
44,7_r_So,1,functional,,
45,94c_m_As,1,anatomical,,
46,94c_m_As,1,structural,,
47,94c_m_As,1,functional,,
48,94_g_We,1,anatomical,,
49,94_g_We,1,structural,,
50,94_g_We,1,functional,,
51,94_m_As,1,anatomical,,
52,94_m_As,1,structural,,
53,94_m_As,1,functional,,
54,94_m_Rei,1,anatomical,,
55,94_m_Rei,1,structural,,
56,94_m_Rei,1,functional,,
57,94_m_Va,1,anatomical,,
58,94_m_Va,1,structural,,
59,94_m_Va,1,functional,,
60,94_m_We,1,anatomical,,
61,94_m_We,1,structural,,
62,94_m_We,1,functional,,
63,94_r_Fr,1,anatomical,,
64,94_r_Fr,1,structural,,
65,94_r_Fr,1,functional,,
66,94_r_We,1,anatomical,,
67,94_r_We,1,structural,,
68,94_r_We,1,functional,,
69,117c_m_Ri,2,anatomical,,
70,117c_m_Ri,2,structural,,
71,117c_m_Ri,2,functional,,
72,117_m_Ra,2,anatomical,,
73,117_m_Ra,2,structural,,
74,117_m_Ra,2,functional,,
75,117_m_Vr,2,anatomical,,
76,117_m_Vr,2,structural,,
77,117_m_Vr,2,functional,,
78,164_m_Ku,2,anatomical,,
79,164_m_Ku,2,structural,,
80,164_m_Ku,2,functional,,
81,7_h_He,2,anatomical,,
82,7_h_He,2,structural,,
83,7_h_He,2,functional,,
84,7_m_Bo,2,anatomical,,
85,7_m_Bo,2,structural,,
86,7_m_Bo,2,functional,,
87,7_m_Br,2,anatomical,,
88,7_m_Br,2,structural,,
89,7_m_Br,2,functional,,
90,7_m_Ca,2,anatomical,,
91,7_m_Ca,2,structural,,
92,7_m_Ca,2,functional,,
93,7_m_Lo,2,anatomical,,
94,7_m_Lo,2,structural,,
95,7_m_Lo,2,functional,,
96,7_m_Mi,2,anatomical,,
97,7_m_Mi,2,structural,,
98,7_m_Mi,2,functional,,
99,7_m_Se,2,anatomical,,
100,7_m_Se,2,structural,,
101,7_m_Se,2,functional,,
102,7_m_St,2,anatomical,,
103,7_m_St,2,structural,,
104,7_m_St,2,functional,,
105,7_rab_Mu,2,anatomical,,
106,7_rab_Mu,2,structural,,
107,7_rab_Mu,2,functional,,
108,7_r_Se,2,anatomical,,
109,7_r_Se,2,structural,,
110,7_r_Se,2,functional,,
111,7_r_So,2,anatomical,,
112,7_r_So,2,structural,,
113,7_r_So,2,functional,,
114,94c_m_As,2,anatomical,,
115,94c_m_As,2,structural,,
116,94c_m_As,2,functional,,
117,94_g_We,2,anatomical,,
118,94_g_We,2,structural,,
119,94_g_We,2,functional,,
120,94_m_As,2,anatomical,,
121,94_m_As,2,structural,,
122,94_m_As,2,functional,,
123,94_m_Rei,2,anatomical,,
124,94_m_Rei,2,structural,,
125,94_m_Rei,2,functional,,
126,94_m_Va,2,anatomical,,
127,94_m_Va,2,structural,,
128,94_m_Va,2,functional,,
129,94_m_We,2,anatomical,,
130,94_m_We,2,structural,,
131,94_m_We,2,functional,,
132,94_r_Fr,2,anatomical,,
133,94_r_Fr,2,structural,,
134,94_r_Fr,2,functional,,
135,94_r_We,2,anatomical,,
136,94_r_We,2,structural,,
137,94_r_We,2,functional,,
138,117c_m_Ri,3,anatomical,,
139,117c_m_Ri,3,structural,,
140,117c_m_Ri,3,functional,,
141,117_m_Ra,3,anatomical,,
142,117_m_Ra,3,structural,,
143,117_m_Ra,3,functional,,
144,117_m_Vr,3,anatomical,,
145,117_m_Vr,3,structural,,
146,117_m_Vr,3,functional,,
147,164_m_Ku,3,anatomical,,
148,164_m_Ku,3,structural,,
149,164_m_Ku,3,functional,,
150,7_h_He,3,anatomical,,
151,7_h_He,3,structural,,
152,7_h_He,3,functional,,
153,7_m_Bo,3,anatomical,,
154,7_m_Bo,3,structural,,
155,7_m_Bo,3,functional,,
156,7_m_Br,3,anatomical,,
157,7_m_Br,3,structural,,
158,7_m_Br,3,functional,,
159,7_m_Ca,3,anatomical,,
160,7_m_Ca,3,structural,,
161,7_m_Ca,3,functional,,
162,7_m_Lo,3,anatomical,,
163,7_m_Lo,3,structural,,
164,7_m_Lo,3,functional,,
165,7_m_Mi,3,anatomical,,
166,7_m_Mi,3,structural,,
167,7_m_Mi,3,functional,,
168,7_m_Se,3,anatomical,,
169,7_m_Se,3,structural,,
170,7_m_Se,3,functional,,
171,7_m_St,3,anatomical,,
172,7_m_St,3,structural,,
173,7_m_St,3,functional,,
174,7_rab_Mu,3,anatomical,,
175,7_rab_Mu,3,structural,,
176,7_rab_Mu,3,functional,,
177,7_r_Se,3,anatomical,,
178,7_r_Se,3,structural,,
179,7_r_Se,3,functional,,
180,7_r_So,3,anatomical,,
181,7_r_So,3,structural,,
182,7_r_So,3,functional,,
183,94c_m_As,3,anatomical,,
184,94c_m_As,3,structural,,
185,94c_m_As,3,functional,,
186,94_g_We,3,anatomical,,
187,94_g_We,3,structural,,
188,94_g_We,3,functional,,
189,94_m_As,3,anatomical,,
190,94_m_As,3,structural,,
191,94_m_As,3,functional,,
192,94_m_Rei,3,anatomical,,
193,94_m_Rei,3,structural,,
194,94_m_Rei,3,functional,,
195,94_m_Va,3,anatomical,,
196,94_m_Va,3,structural,,
197,94_m_Va,3,functional,,
198,94_m_We,3,anatomical,,
199,94_m_We,3,structural,,
200,94_m_We,3,functional,,
201,94_r_Fr,3,anatomical,,
202,94_r_Fr,3,structural,,
203,94_r_Fr,3,functional,,
204,94_r_We,3,anatomical,,
205,94_r_We,3,structural,,
206,94_r_We,3,functional,,
207,117c_m_Ri,4,anatomical,,
208,117c_m_Ri,4,structural,,
209,117c_m_Ri,4,functional,,
210,117_m_Ra,4,anatomical,,
211,117_m_Ra,4,structural,,
212,117_m_Ra,4,functional,,
213,117_m_Vr,4,anatomical,,
214,117_m_Vr,4,structural,,
215,117_m_Vr,4,functional,,
216,164_m_Ku,4,anatomical,,
217,164_m_Ku,4,structural,,
218,164_m_Ku,4,functional,,
219,7_h_He,4,anatomical,,
220,7_h_He,4,structural,,
221,7_h_He,4,functional,,
222,7_m_Bo,4,anatomical,,
223,7_m_Bo,4,structural,,
224,7_m_Bo,4,functional,,
225,7_m_Br,4,anatomical,,
226,7_m_Br,4,structural,,
227,7_m_Br,4,functional,,
228,7_m_Ca,4,anatomical,,
229,7_m_Ca,4,structural,,
230,7_m_Ca,4,functional,,
231,7_m_Lo,4,anatomical,,
232,7_m_Lo,4,structural,,
233,7_m_Lo,4,functional,,
234,7_m_Mi,4,anatomical,,
235,7_m_Mi,4,structural,,
236,7_m_Mi,4,functional,,
237,7_m_Se,4,anatomical,,
238,7_m_Se,4,structural,,
239,7_m_Se,4,functional,,
240,7_m_St,4,anatomical,,
241,7_m_St,4,structural,,
242,7_m_St,4,functional,,
243,7_rab_Mu,4,anatomical,,
244,7_rab_Mu,4,structural,,
245,7_rab_Mu,4,functional,,
246,7_r_Se,4,anatomical,,
247,7_r_Se,4,structural,,
248,7_r_Se,4,functional,,
249,7_r_So,4,anatomical,,
250,7_r_So,4,structural,,
251,7_r_So,4,functional,,
252,94c_m_As,4,anatomical,,
253,94c_m_As,4,structural,,
254,94c_m_As,4,functional,,
255,94_g_We,4,anatomical,,
256,94_g_We,4,structural,,
257,94_g_We,4,functional,,
258,94_m_As,4,anatomical,,
259,94_m_As,4,structural,,
260,94_m_As,4,functional,,
261,94_m_Rei,4,anatomical,,
262,94_m_Rei,4,structural,,
263,94_m_Rei,4,functional,,
264,94_m_Va,4,anatomical,,
265,94_m_Va,4,structural,,
266,94_m_Va,4,functional,,
267,94_m_We,4,anatomical,,
268,94_m_We,4,structural,,
269,94_m_We,4,functional,,
270,94_r_Fr,4,anatomical,,
271,94_r_Fr,4,structural,,
272,94_r_Fr,4,functional,,
273,94_r_We,4,anatomical,,
274,94_r_We,4,structural,,
275,94_r_We,4,functional,,
276,117c_m_Ri,5,anatomical,,
277,117c_m_Ri,5,structural,,
278,117c_m_Ri,5,functional,,
279,117_m_Ra,5,anatomical,,
280,117_m_Ra,5,structural,,
281,117_m_Ra,5,functional,,
282,117_m_Vr,5,anatomical,,
283,117_m_Vr,5,structural,,
284,117_m_Vr,5,functional,,
285,164_m_Ku,5,anatomical,,
286,164_m_Ku,5,structural,,
287,164_m_Ku,5,functional,,
288,7_h_He,5,anatomical,,
289,7_h_He,5,structural,,
290,7_h_He,5,functional,,
291,7_m_Bo,5,anatomical,,
292,7_m_Bo,5,structural,,
293,7_m_Bo,5,functional,,
294,7_m_Br,5,anatomical,,
295,7_m_Br,5,structural,,
296,7_m_Br,5,functional,,
297,7_m_Ca,5,anatomical,,
298,7_m_Ca,5,structural,,
299,7_m_Ca,5,functional,,
300,7_m_Lo,5,anatomical,,
301,7_m_Lo,5,structural,,
302,7_m_Lo,5,functional,,
303,7_m_Mi,5,anatomical,,
304,7_m_Mi,5,structural,,
305,7_m_Mi,5,functional,,
306,7_m_Se,5,anatomical,,
307,7_m_Se,5,structural,,
308,7_m_Se,5,functional,,
309,7_m_St,5,anatomical,,
310,7_m_St,5,structural,,
311,7_m_St,5,functional,,
312,7_rab_Mu,5,anatomical,,
313,7_rab_Mu,5,structural,,
314,7_rab_Mu,5,functional,,
315,7_r_Se,5,anatomical,,
316,7_r_Se,5,structural,,
317,7_r_Se,5,functional,,
318,7_r_So,5,anatomical,,
319,7_r_So,5,structural,,
320,7_r_So,5,functional,,
321,94c_m_As,5,anatomical,,
322,94c_m_As,5,structural,,
323,94c_m_As,5,functional,,
324,94_g_We,5,anatomical,,
325,94_g_We,5,structural,,
326,94_g_We,5,functional,,
327,94_m_As,5,anatomical,,
328,94_m_As,5,structural,,
329,94_m_As,5,functional,,
330,94_m_Rei,5,anatomical,,
331,94_m_Rei,5,structural,,
332,94_m_Rei,5,functional,,
333,94_m_Va,5,anatomical,,
334,94_m_Va,5,structural,,
335,94_m_Va,5,functional,,
336,94_m_We,5,anatomical,,
337,94_m_We,5,structural,,
338,94_m_We,5,functional,,
339,94_r_Fr,5,anatomical,,
340,94_r_Fr,5,structural,,
341,94_r_Fr,5,functional,,
342,94_r_We,5,anatomical,,
343,94_r_We,5,structural,,
344,94_r_We,5,functional,,
